info: Nest.js API-Server ready to http://localhost:3000/ {"service":"SEERSLAB"}
info: Nest.js API-Server ready to http://localhost:3000/ {"service":"SEERSLAB"}
info: Nest.js API-Server ready to http://localhost:3000/ {"service":"SEERSLAB"}
warn: try to re-connect redisClientProvider after 10s... {"service":"SEERSLAB"}
warn: try to re-connect RedisWebCacheModule after 10s... {"service":"SEERSLAB"}
warn: try to re-connect RedisWebCacheModule after 10s... {"service":"SEERSLAB"}
warn: try to re-connect redisClientProvider after 10s... {"service":"SEERSLAB"}
warn: try to re-connect RedisWebCacheModule after 10s... {"service":"SEERSLAB"}
warn: try to re-connect redisClientProvider after 10s... {"service":"SEERSLAB"}
warn: try to re-connect redisClientProvider after 10s... {"service":"SEERSLAB"}
warn: try to re-connect RedisWebCacheModule after 10s... {"service":"SEERSLAB"}
warn: try to re-connect RedisWebCacheModule after 10s... {"service":"SEERSLAB"}
warn: try to re-connect redisClientProvider after 10s... {"service":"SEERSLAB"}
