warn: try to re-connect redisClientProvider after 10s... {"service":"SEERSLAB"}
warn: try to re-connect RedisWebCacheModule after 10s... {"service":"SEERSLAB"}
warn: try to re-connect RedisWebCacheModule after 10s... {"service":"SEERSLAB"}
warn: try to re-connect redisClientProvider after 10s... {"service":"SEERSLAB"}
warn: try to re-connect redisClientProvider after 10s... {"service":"SEERSLAB"}
warn: try to re-connect RedisWebCacheModule after 10s... {"service":"SEERSLAB"}
warn: try to re-connect RedisWebCacheModule after 10s... {"service":"SEERSLAB"}
warn: try to re-connect redisClientProvider after 10s... {"service":"SEERSLAB"}
warn: try to re-connect redisClientProvider after 10s... {"service":"SEERSLAB"}
warn: try to re-connect RedisWebCacheModule after 10s... {"service":"SEERSLAB"}
warn: try to re-connect redisClientProvider after 10s... {"service":"SEERSLAB"}
warn: try to re-connect RedisWebCacheModule after 10s... {"service":"SEERSLAB"}
warn: try to re-connect RedisWebCacheModule after 10s... {"service":"SEERSLAB"}
warn: try to re-connect redisClientProvider after 10s... {"service":"SEERSLAB"}
warn: try to re-connect RedisWebCacheModule after 10s... {"service":"SEERSLAB"}
warn: try to re-connect redisClientProvider after 10s... {"service":"SEERSLAB"}
warn: try to re-connect redisClientProvider after 10s... {"service":"SEERSLAB"}
warn: try to re-connect RedisWebCacheModule after 10s... {"service":"SEERSLAB"}
warn: try to re-connect redisClientProvider after 10s... {"service":"SEERSLAB"}
warn: try to re-connect RedisWebCacheModule after 10s... {"service":"SEERSLAB"}
warn: try to re-connect RedisWebCacheModule after 10s... {"service":"SEERSLAB"}
warn: try to re-connect redisClientProvider after 10s... {"service":"SEERSLAB"}
warn: try to re-connect redisClientProvider after 10s... {"service":"SEERSLAB"}
warn: try to re-connect RedisWebCacheModule after 10s... {"service":"SEERSLAB"}
warn: try to re-connect redisClientProvider after 10s... {"service":"SEERSLAB"}
warn: try to re-connect RedisWebCacheModule after 10s... {"service":"SEERSLAB"}
warn: try to re-connect RedisWebCacheModule after 10s... {"service":"SEERSLAB"}
warn: try to re-connect redisClientProvider after 10s... {"service":"SEERSLAB"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 18:52:30"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 18:52:30"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 19:01:25"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 19:01:25"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 19:02:35"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 19:02:35"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 19:04:56"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 19:04:56"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 19:06:24"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 19:06:24"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 19:16:26"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 19:16:26"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 19:18:19"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 19:18:19"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 19:19:39"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 19:19:39"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 19:20:49"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 19:20:49"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 19:22:18"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 19:22:18"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 19:23:28"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 19:23:28"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 19:26:20"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 19:26:20"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 19:28:07"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 19:28:07"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 19:29:26"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 19:29:26"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 19:31:27"}
